City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
sena madureira,-9.0656,-68.6569,89.98,47,94,1.83,BR,1623435288
boa vista,2.8197,-60.6733,87.78,55,75,10.36,BR,1623435288
bukachacha,52.9833,116.9167,54.63,73,63,2.21,RU,1623435289
sitka,57.0531,-135.33,55.29,67,75,3.44,US,1623435012
port lincoln,-34.7333,135.8667,52.61,80,70,7.0,AU,1623435289
fort nelson,58.8053,-122.7002,56.79,72,75,4.61,CA,1623435290
vardo,70.3705,31.1107,68.2,82,99,11.5,NO,1623435290
deputatskiy,69.3,139.9,45.64,55,43,3.51,RU,1623435291
bintulu,3.1667,113.0333,75.61,94,40,3.44,MY,1623435291
monopoli,40.9559,17.2896,79.25,69,55,8.16,IT,1623435291
ugoofaaru,5.6667,73.0,82.71,77,69,15.19,MV,1623435292
pundaguitan,6.3711,126.1689,82.36,75,95,8.97,PH,1623435292
chamonix-mont-blanc,45.9238,6.8693,72.03,75,62,4.23,FR,1623435293
tuburan,6.6439,122.2736,77.09,76,85,2.77,PH,1623435293
aykhal,66.0,111.5,42.12,72,85,7.81,RU,1623435293
almaznyy,48.0448,40.045,64.54,89,9,7.92,RU,1623435294
santa rosa,14.3122,121.1114,81.1,89,100,2.17,PH,1623435260
vanavara,60.34,102.2797,37.38,80,20,3.65,RU,1623435294
gobabis,-22.45,18.9667,60.03,31,0,12.1,NA,1623435295
fulton,33.7668,-84.4499,86.38,78,75,4.61,US,1623435031
kargopol,61.5071,38.9456,64.62,56,44,4.14,RU,1623435296
pachino,36.7186,15.0907,74.61,67,28,8.39,IT,1623435296
aktau,43.65,51.2,77.58,49,31,17.81,KZ,1623435296
kloulklubed,7.0419,134.2556,79.3,77,98,9.6,PW,1623435297
nishinomiya,34.7167,135.3333,74.19,100,100,4.56,JP,1623435297
bereda,43.2686,-7.5406,68.88,65,0,9.33,ES,1623435298
atkarsk,51.8718,45.0078,60.6,89,39,4.9,RU,1623435298
iki-burul,45.8208,44.6472,71.4,56,98,4.88,RU,1623435298
vestmannaeyjar,63.4427,-20.2734,50.99,53,40,17.27,IS,1623435299
potam,27.6,-110.3833,100.92,15,79,5.12,MX,1623435299
nioro,13.35,-15.75,96.22,36,100,5.95,GM,1623435300
atyrau,47.1167,51.8833,75.22,57,40,8.95,KZ,1623435000
eureka,40.8021,-124.1637,61.93,66,100,8.01,US,1623435300
ormara,25.2088,64.6357,84.07,83,9,17.31,PK,1623435300
cairns,-16.9167,145.7667,69.75,85,90,8.05,AU,1623435071
guilin,25.2819,110.2864,75.51,95,62,3.27,CN,1623435172
dhidhdhoo,6.8833,73.1,82.9,77,50,17.25,MV,1623435301
zambezi,-13.5432,23.1047,62.01,34,26,5.46,ZM,1623435303
bairiki,1.3292,172.9752,78.8,89,20,6.91,KI,1623435304
vilyuysk,63.7553,121.6247,44.1,96,100,5.99,RU,1623435305
chipinge,-20.1883,32.6236,53.24,60,18,1.39,ZW,1623435305
ayagoz,47.9714,80.4392,49.86,50,15,7.2,KZ,1623435306
basco,20.4487,121.9702,84.56,79,79,17.25,PH,1623435306
otradnoye,59.7775,30.8181,71.65,60,100,5.73,RU,1623435021
salym,60.0625,71.4789,53.62,68,90,5.82,RU,1623435307
dali,25.7,100.1833,59.4,94,100,2.15,CN,1623435307
fukue,32.6881,128.8419,72.61,96,100,20.0,JP,1623435308
seddon,-37.8068,144.8916,54.91,92,90,5.75,AU,1623435308
padang,-0.9492,100.3543,78.13,81,94,2.86,ID,1623435308
chik,54.9928,82.4311,48.18,70,0,4.47,RU,1623435309
abu samrah,35.3029,37.1841,70.43,57,0,17.16,SY,1623435214
ribeira grande,38.5167,-28.7,73.8,78,40,6.91,PT,1623435309
harrisonburg,38.4496,-78.8689,75.15,66,90,1.01,US,1623435080
turukhansk,65.8167,87.9833,46.47,99,100,8.63,RU,1623435310
finspang,58.7058,15.7674,73.92,62,100,7.02,SE,1623435310
kyzyl-suu,42.3414,78.0056,51.87,79,79,4.05,KG,1623435311
najran,17.4924,44.1277,90.25,12,55,5.46,SA,1623435311
tamandare,-8.7597,-35.1047,80.35,68,33,10.22,BR,1623435312
kalanwali,29.85,74.95,101.57,18,0,8.32,IN,1623435312
porto novo,6.4965,2.6036,80.42,78,99,7.96,BJ,1623435313
gazli,40.1333,63.45,88.97,17,2,10.04,UZ,1623435313
ixtapa,20.7,-105.2,90.23,58,1,6.91,MX,1623435314
vila do maio,15.1333,-23.2167,77.79,78,2,1.28,CV,1623435314
luau,-10.7073,22.2247,67.08,41,37,5.41,AO,1623435315
awka,6.2101,7.0741,76.05,82,100,5.82,NG,1623435315
kieta,-6.2167,155.6333,78.85,85,16,5.12,PG,1623435154
figline valdarno,43.6195,11.4693,76.96,74,90,3.0,IT,1623435316
shuiji,27.4214,118.345,74.61,97,99,1.28,CN,1623435316
nosy varika,-20.5833,48.5333,67.55,87,4,4.76,MG,1623435318
nehe,48.4833,124.8333,61.23,68,13,5.28,CN,1623435318
la libertad,-2.2333,-80.9,73.06,83,75,8.05,EC,1623435318
innisfail,-17.5333,146.0333,64.35,86,20,5.57,AU,1623435319
uruzgan,32.8333,66.0,81.27,7,0,7.81,AF,1623435320
lichinga,-13.3128,35.2406,62.69,67,75,4.61,MZ,1623435320
vila velha,-20.3297,-40.2925,81.97,71,20,9.22,BR,1623435320
south river,40.4465,-74.386,72.27,77,100,1.99,US,1623435321
belyy gorodok,56.965,37.5125,57.27,97,97,4.74,RU,1623435321
nyurba,63.2842,118.3319,40.95,79,48,5.5,RU,1623435142
san jose,37.3394,-121.895,73.53,41,20,5.99,US,1623435068
parauna,-16.9478,-50.4486,77.77,49,100,9.26,BR,1623435322
the valley,18.217,-63.0578,83.82,83,75,13.8,AI,1623435323
vozrozhdeniye,44.5503,38.2136,67.24,91,0,0.69,RU,1623435323
tambacounda,13.7539,-13.7586,89.65,2,0,4.61,SN,1623435324
ballinasloe,53.3275,-8.2194,62.71,73,90,9.91,IE,1623435324
postrelmov,49.9076,16.9123,69.73,87,61,2.62,CZ,1623435325
gouyave,12.1646,-61.7296,84.97,70,20,23.02,GD,1623435325
pangnirtung,66.1451,-65.7125,39.2,81,20,12.66,CA,1623435325
faanui,-16.4833,-151.75,76.37,85,99,8.14,PF,1623435326
marzuq,14.4,46.4667,84.43,44,89,6.44,YE,1623435326
rawson,-43.3002,-65.1023,63.55,49,61,19.19,AR,1623435052
dejen,10.1667,38.1333,70.14,23,99,4.85,ET,1623435327
pottstown,40.2454,-75.6496,64.94,89,90,3.0,US,1623435327
yelbarga,15.6333,76.0167,75.63,79,73,17.63,IN,1623435328
yamada,39.4667,141.95,60.15,88,100,9.24,JP,1623435328
yarmouth,41.7057,-70.2286,73.45,63,1,9.22,US,1623435329
verkhnevilyuysk,63.4453,120.3167,41.32,91,84,5.61,RU,1623435329
san quintin,30.4833,-115.95,68.18,61,2,17.25,MX,1623435330
kabalo,-6.05,26.9167,79.34,41,23,4.21,CD,1623435330
bonfim,3.0833,-59.95,75.72,85,100,2.73,BR,1623435331
uige,-7.6087,15.0613,77.0,37,74,2.26,AO,1623435331
sault sainte marie,46.5168,-84.3333,66.49,76,90,3.44,CA,1623435099
santa lucia,27.9117,-15.5407,74.52,34,0,23.02,ES,1623435332
umm kaddadah,13.6017,26.6876,93.94,22,87,1.83,SD,1623435332
painesville,41.7245,-81.2457,81.55,61,75,11.5,US,1623435333
astoria,46.1879,-123.8313,56.01,89,90,6.91,US,1623435333
manyana,-23.4,21.7167,59.61,36,1,8.5,BW,1623435254
beira,-19.8436,34.8389,68.09,88,20,3.44,MZ,1623435334
fernandina beach,30.6697,-81.4626,95.18,48,40,3.0,US,1623435334
steinbach,50.1667,8.5667,80.11,41,0,6.91,DE,1623435335
kaniama,-7.5667,24.1833,75.15,43,99,4.5,CD,1623435335
nuevitas,21.5453,-77.2644,87.24,70,100,10.18,CU,1623435336
zhigansk,66.7697,123.3711,45.46,86,100,17.16,RU,1623435201
praia,14.9215,-23.5087,77.54,78,14,11.5,CV,1623435337
la trinidad,16.455,120.5875,63.77,88,100,3.2,PH,1623435337
pacific grove,36.6177,-121.9166,72.57,46,1,4.0,US,1623435194
mareeba,-17.0,145.4333,65.12,94,93,2.21,AU,1623435338
coquimbo,-29.9533,-71.3436,62.33,67,0,8.05,CL,1623435188
sokoto,13.0609,5.239,100.96,23,38,7.07,NG,1623435186
waipawa,-41.4122,175.5153,49.1,92,90,1.07,NZ,1623435339
sangmelima,2.9333,11.9833,69.55,97,100,3.74,CM,1623435339
acari,-15.4311,-74.6158,73.56,55,44,7.27,PE,1623435340
touros,-5.1989,-35.4608,86.9,66,9,16.4,BR,1623435196
comodoro rivadavia,-45.8667,-67.5,57.06,72,75,10.36,AR,1623435079
north branch,45.5113,-92.9802,84.49,62,92,12.26,US,1623435341
kokkola,63.8385,23.1307,74.5,46,0,4.61,FI,1623435342
bar harbor,44.3876,-68.2039,61.34,69,90,7.0,US,1623435342
gazimurskiy zavod,51.5461,118.3266,54.3,64,12,3.56,RU,1623435342
semnan,35.5729,53.3971,86.02,14,0,3.8,IR,1623435343
sobolevo,54.4299,31.8996,58.69,91,86,5.08,RU,1623435160
puerto penasco,31.3167,-113.5333,86.72,28,2,7.09,MX,1623435343
oskarshamn,57.2645,16.4484,68.99,79,90,5.99,SE,1623435344
genhe,50.7833,121.5167,49.6,89,1,0.94,CN,1623435344
cedar city,37.6775,-113.0619,72.39,9,1,4.61,US,1623435345
gallup,35.5281,-108.7426,84.96,6,1,1.99,US,1623435248
tilichiki,60.4667,166.1,42.98,80,98,3.42,RU,1623435345
charkhari,25.4,79.75,92.59,44,29,14.05,IN,1623435346
glendive,47.1053,-104.7125,67.62,42,1,29.93,US,1623435346
smolenka,52.1352,113.4974,55.47,76,97,4.47,RU,1623435347
huarmey,-10.0681,-78.1522,71.04,68,45,12.08,PE,1623435347
mwanza,-2.5167,32.9,73.98,53,47,3.51,TZ,1623435347
morshansk,53.4435,41.8107,61.81,90,82,5.01,RU,1623435348
ayan,56.45,138.1667,42.89,84,100,13.31,RU,1623435349
jardim,-21.4803,-56.1381,76.6,49,100,5.97,BR,1623435349
buzuluk,52.7807,52.2635,61.59,94,100,6.96,RU,1623435350
biograd na moru,43.9433,15.4519,77.7,57,77,7.61,HR,1623435350
half moon bay,37.4636,-122.4286,73.58,55,1,5.75,US,1623435282
florence,43.7667,11.25,77.68,58,86,2.21,IT,1623435351
grand bank,47.0999,-55.765,53.6,65,49,18.57,CA,1623435351
kuala selangor,3.35,101.25,80.8,81,96,1.43,MY,1623435351
maidstone,51.2667,0.5167,75.2,74,100,4.0,GB,1623435352
banda aceh,5.5577,95.3222,80.62,79,100,11.68,ID,1623435352
burgersdorp,-30.9977,26.3286,52.99,52,3,6.87,ZA,1623435353
grand haven,43.0631,-86.2284,89.96,59,20,10.36,US,1623435353
wanaka,-44.7,169.15,41.58,84,2,1.9,NZ,1623435196
zemio,5.0314,25.1361,81.09,46,79,2.89,CF,1623435354
tautira,-17.7333,-149.15,77.02,80,100,3.98,PF,1623435354
anloga,5.7947,0.8973,82.36,79,66,18.66,GH,1623435355
zeya,53.75,127.2667,54.41,83,67,3.18,RU,1623435355
muleba,-1.8397,31.6544,70.79,56,49,1.41,TZ,1623435356
nabire,-3.3667,135.4833,74.28,89,98,3.02,ID,1623435356
arkhangelsk,64.5401,40.5433,71.71,56,20,2.24,RU,1623435357
burns lake,54.2331,-125.7533,54.82,39,65,3.27,CA,1623435311
oussouye,12.485,-16.5469,86.09,67,100,8.9,SN,1623435358
kaduqli,11.0167,29.7167,85.37,48,46,11.5,SD,1623435358
hargeysa,9.56,44.065,75.36,54,99,22.28,SO,1623435359
sandy bay,-42.913,147.3532,57.06,94,90,4.0,AU,1623435311
kandara,25.7191,73.2765,94.46,38,0,17.83,IN,1623435359
mandalgovi,45.7625,106.2708,56.32,70,15,9.26,MN,1623435360
